user_input,action,product,quantity
Can you take out 6 cheese?,remove,cheese,6
"I changed my mind about those plate, take 5 out.",remove,plate,5
Wipe out the sweater.,remove,sweater,1
Remove 6 oranges from the basket.,remove,oranges,6
Pop 3 milk into my shopping bag.,add,milk,3
Drop the chocolate completely.,remove,chocolate,1
I don’t want the jacket anymore.,remove,jacket,1
"I changed my mind about those chocolate, take 10 out.",remove,chocolate,10
Let’s add 10 hat to the basket.,add,hat,10
Can you take out 1 chocolate?,remove,chocolate,1
Get rid of 2 bananas from my order.,remove,bananas,2
Please pull out 3 knife.,remove,knife,3
Pop 4 bananas into my shopping bag.,add,bananas,4
Include 5 cheese with my order.,add,cheese,5
Can you take out 10 cheese?,remove,cheese,10
Include 6 plate with my order.,add,plate,6
"I changed my mind about those pan, take 5 out.",remove,pan,5
Remove 5 blanket from the basket.,remove,blanket,5
Drop the bread completely.,remove,bread,1
Could you toss 4 toaster into the cart?,add,toaster,4
Throw in 1 hat for me.,add,hat,1
Please pull out 4 mug.,remove,mug,4
Throw in 6 pillow for me.,add,pillow,6
Forget about the toaster.,remove,toaster,1
Can you take out 2 toaster?,remove,toaster,2
Wipe out the apples.,remove,apples,1
"Nix 6 pillow, please.",remove,pillow,6
Please pull out 5 scarf.,remove,scarf,5
Pop 10 apples into my shopping bag.,add,apples,10
Please pull out 6 water.,remove,water,6
Let’s add 3 shorts to the basket.,add,shorts,3
Please pull out 1 toaster.,remove,toaster,1
Pop 4 shorts into my shopping bag.,add,shorts,4
Pop 2 oranges into my shopping bag.,add,oranges,2
Can you take out 1 socks?,remove,socks,1
Could you toss 3 bread into the cart?,add,bread,3
Could you toss 5 mug into the cart?,add,mug,5
Let’s add 2 lamp to the basket.,add,lamp,2
Wipe out the mug.,remove,mug,1
Drop the bottle completely.,remove,bottle,1
Include 1 eggs with my order.,add,eggs,1
Cancel the mug.,remove,mug,1
Let’s drop 1 shoes.,remove,shoes,1
I don’t want the hat anymore.,remove,hat,1
I don’t need 2 water anymore.,remove,water,2
I'd like to get 4 cheese.,add,cheese,4
"I changed my mind about those toaster, take 10 out.",remove,toaster,10
Let’s drop 5 apples.,remove,apples,5
Eliminate the bread from my cart.,remove,bread,1
Drop the water completely.,remove,water,1
Remove 10 toaster from the basket.,remove,toaster,10
Eliminate the eggs from my cart.,remove,eggs,1
Remove 1 pillow from the basket.,remove,pillow,1
Throw in 1 mug for me.,add,mug,1
Throw in 5 chocolate for me.,add,chocolate,5
Scratch the scarf.,remove,scarf,1
"Grab me 5 t-shirt, please.",add,t-shirt,5
Forget about the scarf.,remove,scarf,1
Pop 5 eggs into my shopping bag.,add,eggs,5
Wipe out the cheese.,remove,cheese,1
Get rid of 5 toaster from my order.,remove,toaster,5
I'd like to get 2 jeans.,add,jeans,2
"Nix 3 knife, please.",remove,knife,3
Throw in 2 water for me.,add,water,2
Please pull out 1 chocolate.,remove,chocolate,1
Include 4 t-shirt with my order.,add,t-shirt,4
Can you take out 4 bananas?,remove,bananas,4
Scratch the blender.,remove,blender,1
"Nix 10 eggs, please.",remove,eggs,10
Scratch the pillow.,remove,pillow,1
Cancel the bread.,remove,bread,1
"Nix 2 bottle, please.",remove,bottle,2
I'd like to get 3 jeans.,add,jeans,3
Please pull out 10 chocolate.,remove,chocolate,10
Forget about the yogurt.,remove,yogurt,1
I'd like to get 1 apples.,add,apples,1
Let’s drop 4 sweater.,remove,sweater,4
Forget about the socks.,remove,socks,1
Forget about the eggs.,remove,eggs,1
Please pull out 5 milk.,remove,milk,5
Throw in 1 shorts for me.,add,shorts,1
Eliminate the oranges from my cart.,remove,oranges,1
Remove 2 apples from the basket.,remove,apples,2
Throw in 2 socks for me.,add,socks,2
Forget about the blanket.,remove,blanket,1
Include 4 milk with my order.,add,milk,4
I don’t want the pan anymore.,remove,pan,1
Drop the jacket completely.,remove,jacket,1
"I changed my mind about those sweater, take 5 out.",remove,sweater,5
Can you take out 10 eggs?,remove,eggs,10
Let’s add 2 yogurt to the basket.,add,yogurt,2
I want the blender gone.,remove,blender,1
I'd like to get 10 bananas.,add,bananas,10
Please pull out 3 apples.,remove,apples,3
I don’t want the scarf anymore.,remove,scarf,1
"Nix 2 yogurt, please.",remove,yogurt,2
Drop the pillow completely.,remove,pillow,1
Include 2 eggs with my order.,add,eggs,2
Pop 1 plate into my shopping bag.,add,plate,1
"Grab me 5 shoes, please.",add,shoes,5
Scratch the socks.,remove,socks,1
"I changed my mind about those socks, take 4 out.",remove,socks,4
"Grab me 4 knife, please.",add,knife,4
Pop 10 jacket into my shopping bag.,add,jacket,10
Forget about the toaster.,remove,toaster,1
Cancel the knife.,remove,knife,1
I don’t want the hat anymore.,remove,hat,1
Could you toss 1 blanket into the cart?,add,blanket,1
"I changed my mind about those chocolate, take 6 out.",remove,chocolate,6
"I changed my mind about those shorts, take 1 out.",remove,shorts,1
Let’s drop 5 lamp.,remove,lamp,5
Cancel the plate.,remove,plate,1
Drop the sweater completely.,remove,sweater,1
I need 10 more milk.,add,milk,10
Throw in 1 knife for me.,add,knife,1
"I changed my mind about those knife, take 4 out.",remove,knife,4
Can you take out 6 bananas?,remove,bananas,6
I don’t need 5 socks anymore.,remove,socks,5
I want the plate gone.,remove,plate,1
Scratch the t-shirt.,remove,t-shirt,1
Let’s add 1 pan to the basket.,add,pan,1
"I changed my mind about those socks, take 3 out.",remove,socks,3
Include 3 shoes with my order.,add,shoes,3
"Nix 2 backpack, please.",remove,backpack,2
Can you take out 4 yogurt?,remove,yogurt,4
Let’s add 10 blanket to the basket.,add,blanket,10
I need 1 more sweater.,add,sweater,1
"I changed my mind about those shoes, take 5 out.",remove,shoes,5
Remove 6 jacket from the basket.,remove,jacket,6
Let’s add 10 sweater to the basket.,add,sweater,10
Remove 1 pan from the basket.,remove,pan,1
I don’t want the bread anymore.,remove,bread,1
Please pull out 2 backpack.,remove,backpack,2
Wipe out the bananas.,remove,bananas,1
Wipe out the hat.,remove,hat,1
Get rid of 4 eggs from my order.,remove,eggs,4
